iquitos_persiann, 3.875S, 73.375W, precipitation_amount,
Year, Month, Day, mm,
1983,1,1,10.04, 
1983,1,2,6.28, 
1983,1,3,0.94, 
1983,1,4,14.71, 
1983,1,5,41.97, 
1983,1,6,-9999, 
1983,1,7,0.8, 
1983,1,8,7.79, 
1983,1,9,34.6, 
1983,1,10,0, 
1983,1,11,0, 
1983,1,12,34.23, 
1983,1,13,4.55, 
1983,1,14,0.62, 
1983,1,15,7.42, 
1983,1,16,29.01, 
1983,1,17,25.18, 
1983,1,18,1.48, 
1983,1,19,0, 
1983,1,20,8.43, 
1983,1,21,7.04, 
1983,1,22,0, 
1983,1,23,14.2, 
1983,1,24,0, 
1983,1,25,13.29, 
1983,1,26,7.82, 
1983,1,27,5.59, 
1983,1,28,10.33, 
1983,1,29,2.38, 
1983,1,30,1.13, 
1983,1,31,0, 
1983,2,1,0, 
1983,2,2,31.96, 
1983,2,3,0, 
1983,2,4,2.7, 
1983,2,5,30.99, 
1983,2,6,5.49, 
1983,2,7,0, 
1983,2,8,4.7, 
1983,2,9,0, 
1983,2,10,0, 
1983,2,11,0, 
1983,2,12,0, 
1983,2,13,15.6, 
1983,2,14,7.21, 
1983,2,15,0, 
1983,2,16,0, 
1983,2,17,10.06, 
1983,2,18,25.57, 
1983,2,19,1.1, 
1983,2,20,2.26, 
1983,2,21,6.9, 
1983,2,22,28.75, 
1983,2,23,5.16, 
1983,2,24,7.85, 
1983,2,25,2.12, 
1983,2,26,5.69, 
1983,2,27,17.5, 
1983,2,28,0, 
1983,3,1,2.24, 
1983,3,2,0.73, 
1983,3,3,14.04, 
1983,3,4,18.75, 
1983,3,5,30.46, 
1983,3,6,18.48, 
1983,3,7,18.26, 
1983,3,8,13.9, 
1983,3,9,14.45, 
1983,3,10,15.88, 
1983,3,11,23.79, 
1983,3,12,2.39, 
1983,3,13,1.85, 
1983,3,14,4.4, 
1983,3,15,12.66, 
1983,3,16,0, 
1983,3,17,0, 
1983,3,18,0, 
1983,3,19,44.44, 
1983,3,20,7.09, 
1983,3,21,0.31, 
1983,3,22,0, 
1983,3,23,15.03, 
1983,3,24,0, 
1983,3,25,0.65, 
1983,3,26,0.37, 
1983,3,27,0, 
1983,3,28,4.97, 
1983,3,29,20.38, 
1983,3,30,12.62, 
1983,3,31,16.73, 
1983,4,1,1.35, 
1983,4,2,9.82, 
1983,4,3,7.69, 
1983,4,4,4.11, 
1983,4,5,1.65, 
1983,4,6,27.61, 
1983,4,7,10.63, 
1983,4,8,41.12, 
1983,4,9,54.45, 
1983,4,10,5.88, 
1983,4,11,8.91, 
1983,4,12,0, 
1983,4,13,0.71, 
1983,4,14,47.21, 
1983,4,15,5.09, 
1983,4,16,5.03, 
1983,4,17,32.63, 
1983,4,18,9.12, 
1983,4,19,0, 
1983,4,20,4.43, 
1983,4,21,20.18, 
1983,4,22,11.92, 
1983,4,23,1.09, 
1983,4,24,2.74, 
1983,4,25,0, 
1983,4,26,6.92, 
1983,4,27,47.9, 
1983,4,28,1.9, 
1983,4,29,0, 
1983,4,30,33.54, 
1983,5,1,2.17, 
1983,5,2,7.88, 
1983,5,3,14.08, 
1983,5,4,0, 
1983,5,5,5.74, 
1983,5,6,39.91, 
1983,5,7,4.76, 
1983,5,8,0, 
1983,5,9,0, 
1983,5,10,24.74, 
1983,5,11,0, 
1983,5,12,4.51, 
1983,5,13,0, 
1983,5,14,1.13, 
1983,5,15,10.18, 
1983,5,16,1.77, 
1983,5,17,1.81, 
1983,5,18,6.73, 
1983,5,19,25.52, 
1983,5,20,0, 
1983,5,21,3.38, 
1983,5,22,0, 
1983,5,23,0, 
1983,5,24,26.73, 
1983,5,25,4.29, 
1983,5,26,0, 
1983,5,27,2.98, 
1983,5,28,0, 
1983,5,29,2.97, 
1983,5,30,8, 
1983,5,31,0, 
1983,6,1,88.49, 
1983,6,2,6.29, 
1983,6,3,0, 
1983,6,4,10.47, 
1983,6,5,6.95, 
1983,6,6,0, 
1983,6,7,1.3, 
1983,6,8,6.18, 
1983,6,9,0, 
1983,6,10,6.19, 
1983,6,11,1.61, 
1983,6,12,3.73, 
1983,6,13,14.57, 
1983,6,14,14.32, 
1983,6,15,15.04, 
1983,6,16,0, 
1983,6,17,0, 
1983,6,18,0, 
1983,6,19,0, 
1983,6,20,0, 
1983,6,21,0, 
1983,6,22,15.44, 
1983,6,23,12.33, 
1983,6,24,3.39, 
1983,6,25,0, 
1983,6,26,18.84, 
1983,6,27,0, 
1983,6,28,0, 
1983,6,29,3.73, 
1983,6,30,0, 
1983,7,1,2.88, 
1983,7,2,0, 
1983,7,3,0, 
1983,7,4,0, 
1983,7,5,0, 
1983,7,6,0, 
1983,7,7,0, 
1983,7,8,6.75, 
1983,7,9,0, 
1983,7,10,12.81, 
1983,7,11,0, 
1983,7,12,0, 
1983,7,13,5.29, 
1983,7,14,3.4, 
1983,7,15,0, 
1983,7,16,22.82, 
1983,7,17,21.98, 
1983,7,18,7.36, 
1983,7,19,0, 
1983,7,20,0, 
1983,7,21,0, 
1983,7,22,0, 
1983,7,23,5.77, 
1983,7,24,22.22, 
1983,7,25,1.66, 
1983,7,26,0, 
1983,7,27,0, 
1983,7,28,0, 
1983,7,29,2.17, 
1983,7,30,29.38, 
1983,7,31,0, 
1983,8,1,0, 
1983,8,2,4.35, 
1983,8,3,0, 
1983,8,4,0, 
1983,8,5,0, 
1983,8,6,0, 
1983,8,7,0, 
1983,8,8,0, 
1983,8,9,7.07, 
1983,8,10,0.7, 
1983,8,11,2.21, 
1983,8,12,3.11, 
1983,8,13,0, 
1983,8,14,10.17, 
1983,8,15,5.06, 
1983,8,16,22.09, 
1983,8,17,4.5, 
1983,8,18,8.85, 
1983,8,19,21.71, 
1983,8,20,1.78, 
1983,8,21,0, 
1983,8,22,1.53, 
1983,8,23,4.14, 
1983,8,24,2.98, 
1983,8,25,1.01, 
1983,8,26,0.68, 
1983,8,27,5.62, 
1983,8,28,0.71, 
1983,8,29,19.03, 
1983,8,30,2.05, 
1983,8,31,20.87, 
1983,9,1,1.42, 
1983,9,2,34.2, 
1983,9,3,25.19, 
1983,9,4,0, 
1983,9,5,0, 
1983,9,6,7.19, 
1983,9,7,1.7, 
1983,9,8,7.51, 
1983,9,9,25.88, 
1983,9,10,0.82, 
1983,9,11,0, 
1983,9,12,0, 
1983,9,13,2.18, 
1983,9,14,13.14, 
1983,9,15,0.98, 
1983,9,16,10.34, 
1983,9,17,4.72, 
1983,9,18,5.16, 
1983,9,19,5.25, 
1983,9,20,1.65, 
1983,9,21,3.97, 
1983,9,22,0, 
1983,9,23,0, 
1983,9,24,1, 
1983,9,25,16.07, 
1983,9,26,1.14, 
1983,9,27,6.26, 
1983,9,28,13.1, 
1983,9,29,2.01, 
1983,9,30,19.39, 
1983,10,1,4.19, 
1983,10,2,0.63, 
1983,10,3,0.77, 
1983,10,4,0.77, 
1983,10,5,11.51, 
1983,10,6,14.25, 
1983,10,7,5.53, 
1983,10,8,16.82, 
1983,10,9,6.54, 
1983,10,10,14.5, 
1983,10,11,28.41, 
1983,10,12,5.69, 
1983,10,13,2.2, 
1983,10,14,0.54, 
1983,10,15,2.05, 
